id;rua;numero;complemento;bairro;cep;cidade;estado
1;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI
2;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire
3;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces
4;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran
5;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI
6;Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves
7;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina
8;Station;parsing Investment Account;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid
9;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application
10;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical
